fold_seed,logit,hybrid,rankraw,rescale,h3,ens4
7,0.9699715738372767,0.9700388180847622,0.970041220494513,0.9700351472266951,0.9700567927286226,0.9700518722939413
11,0.9699682181351067,0.9700360018169174,0.9700480880026876,0.9700343065200376,0.9700566678577335,0.9700506947180196
13,0.9699773419812908,0.970040931415969,0.9700387767080867,0.9700375573444631,0.9700586703538474,0.9700549593572592
42,0.969964869765448,0.9700258630141787,0.9700313094207962,0.9700271740621013,0.9700472004643722,0.9700436164293267
101,0.9699757709666696,0.9700427467630557,0.9700475958414935,0.9700393339383403,0.9700603053668291,0.9700554665995769
777,0.9699760901414929,0.9700374948176793,0.9700466317203,0.9700362644476771,0.9700571999189519,0.9700532404136653
