member,dir,sd_oof,sd_test,ratio,mean_oof,mean_test,min_oof,max_oof,min_test,max_test,ks
bolt_lookup_v1,ext_members2,0.38962944128338184,0.3873379561166123,0.9941188089913798,0.7015560704891135,0.7017346986265589,0.0007797449361532927,0.999968409538269,0.002052061725407839,0.999932587146759,0.09916702109173114
bei_lookup_fixed24,ext_members2,0.3939970111995193,0.3917453832767282,0.994285164966262,0.7107392459253444,0.7107002983499071,0.0005357805639505386,0.9999978542327881,0.0007289791246876121,0.9999963998794555,0.0989418886799932
bolt_fttransformer,ext_members2,3.8343988529409105,3.843924100181417,1.0024841566059828,2.770711040760731,2.7809693041795898,-5.75,7.875,-5.431250095367432,7.65625,0.09600712271094425
bolt_extratrees_support,ext_members2,0.3357046192881806,0.3373976078283493,1.005043089796496,0.7091995216430423,0.708758341153318,0.0,1.0,0.000815384613815695,1.0,0.08830904334827194
mkt_realmlp,ext_members13,0.3334418946774159,0.3308756412067373,0.9923037461349561,0.6869791524556798,0.6867568850642322,0.0078201899304986,0.9839508533477783,0.027471538400277495,0.9585122764110565,0.08509504393915968
golem_g,ext_members,0.3095986666773229,0.3100828111794298,1.0015637809661873,0.6909817785400114,0.6902700656705688,0.02992425300180912,0.9653612375259399,0.04542142013087869,0.9558678418397903,0.08443588275360536
ravi200_publicm13,ext_members16,5.064052471835126,5.075329722397092,1.0022269221388773,3.633673096563474,3.658813229530395,-6.15625,10.4375,-5.9289772510528564,10.05681824684143,0.08158550399949227
om_ftt,ext_members10,0.37421826857085133,0.3741751670923163,0.9998848226231722,0.7151888303032012,0.7149555741083818,0.0008914375212043,0.9999704360961914,0.0016393482655985,0.9999613016843796,0.07075334607673334
bolt_lookup_v2_s81,ext_members2,5.03675637562756,5.04836577014707,1.002304934694814,3.645818887227079,3.6710318558517194,-6.25,10.375,-6.037499904632568,10.125,0.07046843741968123
rf,oof,0.3410030201957379,0.3427136255019639,1.0050163934185805,0.709164326374097,0.7086718690229792,0.0,1.0,0.0008083895271395272,1.0,0.06906662178242196
bolt_lookup_v2_s959,ext_members2,5.065716851670657,5.078551232069338,1.002533576347531,3.6678477064529833,3.693511816715531,-6.21875,10.5625,-5.931250095367432,10.237500190734863,0.06516684709412812
om_cnn,ext_members10es,0.37556626291950096,0.37577720344822074,1.0005616599507101,0.7107894797086146,0.7107551304036582,0.0004692077636718,1.0,0.0014290809631347,0.999755859375,0.06302636060778077
gmm_raw,ext_members9,0.0009529130161007274,0.0013478534619859254,1.414455925370056,0.5001419695430326,0.5001564083595543,0.4744243440335126,0.9999999999999065,0.4908934085663409,0.9999919104167214,0.061368355232793215
bolt_lookup_v2_s42,ext_members2,5.007102587986688,5.018393649023073,1.0022550089274134,3.626304111208123,3.6527785403263766,-6.1875,10.4375,-5.987500190734863,10.125,0.060629009878993445
y94_lookup,ext_members15,0.3819024332050883,0.38232304945441636,1.001101370959588,0.7094395402295414,0.709549368502833,0.0023967308701289603,0.9999646437492582,0.002635754819493741,0.9999526590108871,0.0601483364012092
lookup,oof,0.3819024332050883,0.38232304945441636,1.001101370959588,0.7094395402295414,0.709549368502833,0.0023967308701289603,0.9999646437492582,0.002635754819493741,0.9999526590108871,0.0601483364012092
omid_tabm,ext_members13es,0.37721274442878167,0.37852823521625995,1.003487397514817,0.7048567040632483,0.7050706868877404,7.4820895861194e-06,1.0,3.324043541397259e-05,1.0000000149011612,0.058972446809134604
bolt_realmlp_lattice,ext_members2,0.3787860115021615,0.38000436707259594,1.0032164745619903,0.7026007542253259,0.7025178737727968,2.9960929168737493e-05,0.9999840259552002,0.00016260275151580572,0.999907374382019,0.05844347043193088
bolt_lookup_v3_evidence,ext_members2,6.232428010562573,6.214082125891809,0.9970563824179484,4.521468482480923,4.553226069869591,-7.875,12.4375,-7.550000190734863,12.212499618530273,0.05795755486022325
ravi200_publicm12,ext_members16,0.07427933043277028,0.07428275297313847,1.000046076618465,0.1418699838575118,0.14187452780705836,0.00036369162262417376,0.1999322474002838,0.00036454867093378864,0.19982698559761047,0.05687845419739679
naji05,oof,0.37679008477390435,0.37817317037086795,1.0036707059258037,0.7094676630304333,0.7093194001582022,-0.013759172521531582,1.0218061208724976,-0.0032568806782364845,1.018559217453003,0.05649134694418401
y94_naji05,ext_members15,0.37679008477390435,0.37817317037086795,1.0036707059258037,0.7094676630304333,0.7093194001582022,-0.013759172521531582,1.0218061208724976,-0.0032568806782364845,1.018559217453003,0.05649134694418401
