member,ks,ratio,res_oof,res_test,smoothing
bolt_lookup_v1,0.0991670210917311,0.9941188089913798,0.6053236404872072,0.6572618477094316,0.05193820722222442
bei_lookup_fixed24,0.0989418886799932,0.994285164966262,0.004384055403120476,0.6787365593212331,0.6743525039181126
bolt_fttransformer,0.0960071227109442,1.0024841566059828,0.004567748915557394,0.09976982943078345,0.09520208051522606
bolt_extratrees_support,0.0883090433482719,1.005043089796496,0.42316765721344174,0.7674602263906419,0.3442925691772002
mkt_realmlp,0.0850950439391596,0.992303746134956,0.7650704616492785,0.9512085642351384,0.18613810258585994
golem_g,0.0844358827536053,1.0015637809661873,0.7957067788691712,0.9590991623411249,0.16339238347195373
ravi200_publicm13,0.0815855039994922,1.002226922138877,0.004317520745072458,0.297183279221875,0.2928657584768025
om_ftt,0.0707533460767333,0.9998848226231722,0.6180968484268169,0.7381387908282766,0.12004194240145971
bolt_lookup_v2_s81,0.0704684374196812,1.002304934694814,0.004404305081656829,0.0772320132837443,0.07282770820208746
rf,0.0690666217824219,1.0050163934185803,0.7660916240097546,0.8558632746319633,0.08977165062220871
bolt_lookup_v2_s959,0.0651668470941281,1.002533576347531,0.004378269780681517,0.07726238769903679,0.07288411791835527
om_cnn,0.0630263606077807,1.00056165995071,0.006809677610653645,0.16247949726967756,0.1556698196590239
gmm_raw,0.0613683552327932,1.414455925370056,0.9673849999059836,0.9993452626036948,0.03196026269771124
bolt_lookup_v2_s42,0.0606290098789934,1.0022550089274134,0.004375376969462039,0.07736701068504431,0.07299163371558227
y94_lookup,0.0601483364012092,1.001101370959588,0.004379716186291257,0.7277878650835972,0.7234081488973059
lookup,0.0601483364012092,1.001101370959588,0.004379716186291257,0.7277878650835972,0.7234081488973059
omid_tabm,0.0589724468091346,1.003487397514817,0.6374222737785467,0.7604741108733657,0.12305183709481904
bolt_realmlp_lattice,0.0584434704319308,1.0032164745619905,0.6405479563011938,0.6940621393038184,0.05351418300262467
bolt_lookup_v3_evidence,0.0579575548602232,0.9970563824179484,0.004382608997510736,0.10128517526037624,0.0969025662628655
ravi200_publicm12,0.0568784541973967,1.000046076618465,0.6572872084227092,0.6450952069172669,-0.012192001505442307
naji05,0.056491346944184,1.0036707059258037,0.6897112829762398,0.7392592692590667,0.04954798628282686
y94_naji05,0.056491346944184,1.0036707059258037,0.6897112829762398,0.7392592692590667,0.04954798628282686
naji03,0.0563452621986942,1.0036997549016533,0.6904287001586707,0.7391310217278317,0.04870232156916099
y94_naji03,0.0563452621986942,1.0036997549016533,0.6904287001586707,0.7391310217278317,0.04870232156916099
bolt_lookup_v2_s03,0.0551717584861163,1.0025836277501878,0.004375376969462039,0.07739738510033682,0.07302200813087478
bei_lookup_fixed24_seed1042,0.054793250356426,0.9938873061321472,0.004424554760193182,0.6751692529918799,0.6707446982316867
et,0.0530436347936827,1.0059725176775176,0.8429420468664346,0.9370169624234733,0.09407491555703873
bolt_lookup_v2_s1037,0.0522711987732474,1.0025904946184925,0.004375376969462039,0.0773602608149793,0.07298488384551727
bolt_lookup_v2_s20260901,0.0518840524971242,1.0024995972877586,0.004381162591900996,0.07699239289643674,0.07261123030453574
y94_tabm_imp,0.0472272628040019,1.0026400368380797,0.6380774955197587,0.7866703565956356,0.14859286107587688
tabm_imp,0.0472272628040019,1.0026400368380797,0.6380774955197587,0.7866703565956356,0.14859286107587688
om_tabtrans,0.0469634686364485,1.002024136636797,0.00619640163212409,0.12519321503061065,0.11899681339848656
tabm_deep,0.046307483580941,1.0020094961217536,0.6204892033053261,0.7369879379821939,0.11649873467686778
