x,y,only_x,only_y,gap
w36_ad199stdcorr,w38_ad202stdcorr,-0.050983364577405155,1.5021828771568835,2.9271779591217637
w36_ad199stdcorr,w40_ad211stdcorr,-0.050983364577405155,2.2763576887664385,2.2284746348741464
w36_ad199stdcorr,w36_ad199std_h3,-0.050983364577405155,2.417873198981397,1.9972030746284872
w36_ad199stdcorr,w40_ad211std_h3,-0.050983364577405155,3.7769777913345024,0.7414139426546171
w36_ad199stdcorr,w38_ad202std_h3,-0.050983364577405155,3.5011431393795647,0.9901311697321944
w36_ad199stdcorr,w36_ad199std,-0.050983364577405155,5.054406623763498,-0.5256021164241247
w36_ad199stdcorr,w40_ad211std,-0.050983364577405155,5.320097739808261,-0.7684886921197176
w36_ad199stdcorr,w38_ad202std,-0.050983364577405155,5.3239656740333885,-0.7828510362887755
w36_ad199stdcorr,w36_ad197stdcorr,-0.050983364577405155,5.249331249971874,-0.679820173769258
w36_ad199stdcorr,w34_ad195stdcorr,-0.050983364577405155,5.500984787824564,-0.9271776847308502
w36_ad199stdcorr,w36_ad197std_h3,-0.050983364577405155,5.397112548467703,-0.8264470010763034
w36_ad199stdcorr,w38_ad202std_hybrid,-0.050983364577405155,5.347469398751855,-0.7809603991918266
w36_ad199stdcorr,w36_ad199std_hybrid,-0.050983364577405155,5.382924579025712,-0.8134206409449689
w36_ad199stdcorr,w36_ad199std_rescale,-0.050983364577405155,5.545193907455541,-0.9717947457684204
w36_ad199stdcorr,w36_ad197std,-0.050983364577405155,5.5653815839323215,-0.9919996597454883
w36_ad199stdcorr,w40_ad211std_rescale,-0.050983364577405155,5.546872172039002,-0.9743802722077817
w36_ad199stdcorr,w34_ad195std_h3,-0.050983364577405155,5.533158946491312,-0.95933817216428
w36_ad199stdcorr,w38_ad202std_rescale,-0.050983364577405155,5.5574471185100265,-0.9844996142783202
w36_ad199stdcorr,w34_ad196std_h3,-0.050983364577405155,5.540969516208861,-0.9670525368419476
w36_ad199stdcorr,w34_ad195std_wh3,-0.050983364577405155,5.547976383357309,-0.9740214087069035
w36_ad199stdcorr,w34_ad195std_w,-0.050983364577405155,5.556961749098264,-0.9830075167119503
w36_ad199stdcorr,w29_ad194stdcorr,-0.050983364577405155,5.563995510048699,-0.9899478341103531
w36_ad199stdcorr,w27_ad190stdcorr,-0.050983364577405155,5.56142165028723,-0.9874384910217486
w36_ad199stdcorr,w23_ad187stdcorr,-0.050983364577405155,5.556949452729896,-0.9831976061686873
w36_ad199stdcorr,w21_ad187corr_ens4,-0.050983364577405155,5.571162295585964,-0.9970846683136187
w38_ad202stdcorr,w40_ad211stdcorr,1.5021828771568835,2.2763576887664385,2.1079717488610186
w38_ad202stdcorr,w36_ad199std_h3,1.5021828771568835,2.417873198981397,1.618967332644388
w38_ad202stdcorr,w40_ad211std_h3,1.5021828771568835,3.7769777913345024,0.7723265758249909
w38_ad202stdcorr,w38_ad202std_h3,1.5021828771568835,3.5011431393795647,1.07499043707503
w38_ad202stdcorr,w36_ad199std,1.5021828771568835,5.054406623763498,-0.5056401022593491
w38_ad202stdcorr,w40_ad211std,1.5021828771568835,5.320097739808261,-0.6519190688850358
w38_ad202stdcorr,w38_ad202std,1.5021828771568835,5.3239656740333885,-0.6534207583172247
w38_ad202stdcorr,w36_ad197stdcorr,1.5021828771568835,5.249331249971874,-0.5213318597525358
w38_ad202stdcorr,w34_ad195stdcorr,1.5021828771568835,5.500984787824564,-0.7600587323540822
w38_ad202stdcorr,w36_ad197std_h3,1.5021828771568835,5.397112548467703,-0.6651525560300797
w38_ad202stdcorr,w38_ad202std_hybrid,1.5021828771568835,5.347469398751855,-0.6245144698768854
w38_ad202stdcorr,w36_ad199std_hybrid,1.5021828771568835,5.382924579025712,-0.6678583075408824
w38_ad202stdcorr,w36_ad199std_rescale,1.5021828771568835,5.545193907455541,-0.8069578151917085
w38_ad202stdcorr,w36_ad197std,1.5021828771568835,5.5653815839323215,-0.825705569179263
w38_ad202stdcorr,w40_ad211std_rescale,1.5021828771568835,5.546872172039002,-0.8077417454915121
w38_ad202stdcorr,w34_ad195std_h3,1.5021828771568835,5.533158946491312,-0.7921259743743576
w38_ad202stdcorr,w38_ad202std_rescale,1.5021828771568835,5.5574471185100265,-0.8166735949344002
w38_ad202stdcorr,w34_ad196std_h3,1.5021828771568835,5.540969516208861,-0.79967607796425
w38_ad202stdcorr,w34_ad195std_wh3,1.5021828771568835,5.547976383357309,-0.8064812630182132
w38_ad202stdcorr,w34_ad195std_w,1.5021828771568835,5.556961749098264,-0.8154946705326438
w38_ad202stdcorr,w29_ad194stdcorr,1.5021828771568835,5.563995510048699,-0.8221656090463512
w38_ad202stdcorr,w27_ad190stdcorr,1.5021828771568835,5.56142165028723,-0.81976991816191
w38_ad202stdcorr,w23_ad187stdcorr,1.5021828771568835,5.556949452729896,-0.8158117388375103
w38_ad202stdcorr,w21_ad187corr_ens4,1.5021828771568835,5.571162295585964,-0.829193516925443
w40_ad211stdcorr,w36_ad199std_h3,2.2763576887664385,2.417873198981397,1.447318998107221
w40_ad211stdcorr,w40_ad211std_h3,2.2763576887664385,3.7769777913345024,1.0468157517607324
w40_ad211stdcorr,w38_ad202std_h3,2.2763576887664385,3.5011431393795647,0.9918119193753228
w40_ad211stdcorr,w36_ad199std,2.2763576887664385,5.054406623763498,-0.3948326585814357
w40_ad211stdcorr,w40_ad211std,2.2763576887664385,5.320097739808261,-0.40272364747943357
w40_ad211stdcorr,w38_ad202std,2.2763576887664385,5.3239656740333885,-0.5137022487469949
w40_ad211stdcorr,w36_ad197stdcorr,2.2763576887664385,5.249331249971874,-0.2755451743141748
w40_ad211stdcorr,w34_ad195stdcorr,2.2763576887664385,5.500984787824564,-0.492212631565053
w40_ad211stdcorr,w36_ad197std_h3,2.2763576887664385,5.397112548467703,-0.40827749128220603
w40_ad211stdcorr,w38_ad202std_hybrid,2.2763576887664385,5.347469398751855,-0.37824501347495243
w40_ad211stdcorr,w36_ad199std_hybrid,2.2763576887664385,5.382924579025712,-0.40757723967544734
w40_ad211stdcorr,w36_ad199std_rescale,2.2763576887664385,5.545193907455541,-0.5416042863507755
w40_ad211stdcorr,w36_ad197std,2.2763576887664385,5.5653815839323215,-0.5594739804510027
w40_ad211stdcorr,w40_ad211std_rescale,2.2763576887664385,5.546872172039002,-0.5386084113852121
w40_ad211stdcorr,w34_ad195std_h3,2.2763576887664385,5.533158946491312,-0.5235460253898054
w40_ad211stdcorr,w38_ad202std_rescale,2.2763576887664385,5.5574471185100265,-0.5525002878857777
w40_ad211stdcorr,w34_ad196std_h3,2.2763576887664385,5.540969516208861,-0.5309211396379396
w40_ad211stdcorr,w34_ad195std_wh3,2.2763576887664385,5.547976383357309,-0.5373175865388475
w40_ad211stdcorr,w34_ad195std_w,2.2763576887664385,5.556961749098264,-0.546385868510697
w40_ad211stdcorr,w29_ad194stdcorr,2.2763576887664385,5.563995510048699,-0.5527022547321394
w40_ad211stdcorr,w27_ad190stdcorr,2.2763576887664385,5.56142165028723,-0.5505503549939021
w40_ad211stdcorr,w23_ad187stdcorr,2.2763576887664385,5.556949452729896,-0.5470224520540796
w40_ad211stdcorr,w21_ad187corr_ens4,2.2763576887664385,5.571162295585964,-0.5593375036260113
w36_ad199std_h3,w40_ad211std_h3,2.417873198981397,3.7769777913345024,1.3938448299886659
w36_ad199std_h3,w38_ad202std_h3,2.417873198981397,3.5011431393795647,1.6220011427649297
w36_ad199std_h3,w36_ad199std,2.417873198981397,5.054406623763498,0.11950515053467825
w36_ad199std_h3,w40_ad211std,2.417873198981397,5.320097739808261,-0.10327084560412914
