rep,base165,gate_cat4,pack,om_cat,om_ftt,both
0,0.9700998794596942,0.9701469991902159,0.9701580327530406,0.9701558741942831,0.9701671323287332,0.970165095636212
1,0.9702912173669354,0.9703308797931149,0.9703328666755522,0.970329732902738,0.9703392598221585,0.9703395385881298
2,0.9704163438702591,0.9704583648262427,0.9704637440717427,0.9704649694322847,0.9704696270607895,0.9704671203185843
3,0.9698071963804968,0.9698590398688038,0.9698732470687479,0.9698697504982804,0.9698762493543072,0.9698731182607638
4,0.9697520385121521,0.9697962991763294,0.9698043514412178,0.969805459482165,0.9698142596696189,0.9698100234173742
