rep,base,all22,note,cat,nn,logreg,redundant
0,0.970104429064863,0.9701606750420025,0.9701430187677591,0.9701465805744164,0.9701040240889887,0.9701061062885221,0.9701091275725486
1,0.9702911776650102,0.9703300944013508,0.970311755481327,0.9703329592727825,0.9702963212158502,0.9702961467384738,0.9703066504551565
2,0.9704176244400222,0.9704645634821298,0.9704547976204483,0.9704571060560031,0.9704204605701829,0.9704189158486543,0.9704261945755229
