branch,tau,collapse,w16e_aonly,w16q_ens4avg,w16t_cellens4,P_w16e_aonly,P_w16q_ens4avg,P_w16t_cellens4
TEST,0.0,1.0630815672207916e-10,2.328019473468885,5.508682471350767,5.666395711712539,0.04341456989970627,0.03109655875721762,0.05816466980442436
TEST,0.5,0.1906836338335782,1.8726818701252341,5.341904841479845,5.572651604888961,0.11280548808031879,0.03803722876490445,0.06504404083712356
TEST,1.0,0.21892316367072007,0.6308258740464225,4.7031356821535155,5.245750791509636,0.3742937028496138,0.06801104296659854,0.0881393345483446
TEST,1.7000000000000002,0.23480512314491414,-1.4929489004425704,3.4967825282365084,4.678512907354161,0.732610736377892,0.155871754760388,0.13698002534706416
TEST,2.0,0.23962704365947068,-2.338851835927926,2.963218724471517,4.438260920112953,0.8161471158569418,0.20570069760256454,0.16015119667405348
TEST,3.0,0.2497449028301218,-4.539267259067856,1.3297487101517618,3.658016844186932,0.9322540143983192,0.37452145303186596,0.23690249652982515
TEST,4.0,0.25251739779217885,-5.925587308360264,-0.034795656451024115,2.8270937639754266,0.9635880050531791,0.5046769728641761,0.3105212478317406
PUBLIC,0.0,1.0630815672207916e-10,2.328019473468885,5.508682471350767,5.666395711712539,0.04341456989970627,0.03109655875721762,0.05816466980442436
PUBLIC,0.5,0.02724022032664238,2.393923010560684,5.5333636064315215,5.680643600877374,0.039507526346342664,0.030568375457623698,0.05778599540724305
PUBLIC,1.0,0.031274394625866835,2.573691828525625,5.626978106913157,5.729705969220959,0.03022557925102401,0.028555753696305475,0.056417546975630506
PUBLIC,1.7000000000000002,0.033543221096615145,2.8828110313043,5.8050385158276185,5.816465198178776,0.018698554078972085,0.0250865065253989,0.05417053610122602
PUBLIC,2.0,0.03423205932937999,3.006541386595927,5.884149484569207,5.853674938436598,0.015332465175845356,0.023691369031462295,0.053279660193606304
PUBLIC,3.0,0.035677451928262174,3.3303276104852557,6.126944395597093,5.9745817666407675,0.009000035898949266,0.019935922124008854,0.05062749039012682
PUBLIC,4.0,0.03607351829300599,3.5370174476411194,6.330523455049843,6.101930049946532,0.006371956095650777,0.017347192322522242,0.04803796834071461
