group,member,F_obs,F_null_med,F_null_max,log10_ratio,exceeds_null_max
ctl_ours,cat_lat,4.8871218614878,0.34842062289165887,1.5415067628340846,1.146949315563243,True
ctl_ours,cat_native,1.828332041436817,0.3953275176628238,2.0227013724517784,0.6650980248780598,False
ctl_ours,cat_raw,0.6009291578087013,0.3698920615744409,1.9704593652920182,0.2107482661978506,False
ctl_ours,et_lat_frac,6.32987146809526,0.5051760940406459,2.3010982686970305,1.0979521008201576,True
ctl_ours,lgbm_fixed_lat,1.601339673240024,0.36333653666389776,1.6440092492808076,0.6441743912774492,False
ctl_ours,lgbm_fixed_lat_frac,2.3272628412394143,0.3583129171980256,1.5971508923448599,0.8125829705225935,True
ctl_ours,lgbm_stump_lat_frac,5.1677840193187095,0.39674163306357224,1.7026606329782092,1.1147965779741864,True
ctl_ours,lgbm_tuned_lat,3.77202997626636,0.36422000425578516,1.6397915870615996,1.0152113403019551,True
ctl_ours,lgbm_tuned_lat_frac,3.9321031097131858,0.3583093856645633,1.5902360226076677,1.0403667132555696,True
ctl_ours,linlat,2.9184111537780226,0.38124892861090354,1.5797519861669431,0.8839378445686757,True
ctl_ours,orig_bin,0.8192331581861809,0.6698819981748335,2.812111230132726,0.08740921481399355,False
ctl_ours,orig_binm,0.2937822991369217,0.5012406841352482,2.515244488340135,-0.2320206887835655,False
ctl_ours,w15d_origrep_r,0.47393038245728414,0.45144084459143263,1.8117751423172919,0.02111370131815629,False
ctl_ours,xgb_cat_lattice,0.19786161252618376,0.329793519985233,1.2773455234865845,-0.22188057391428725,False
ctl_ours,xgb_lat,1.1273289852487482,0.39562192457990275,1.5766297169575185,0.4547703221523111,False
ctl_ours,xgb_latcat,6.540229092699431,0.3797415649696629,1.5536833627616131,1.2361048253090967,True
ctl_ours,xgb_latcat_avg3,3.6309551647983023,0.3844018879344645,1.6450231499211867,0.9752353742812316,True
ctl_ours,xgb_latcat_s17,3.15463783363094,0.3785907847269118,1.724972054239636,0.9207794689151151,True
ctl_ours,xgb_latcat_s23,4.551538849241299,0.3904287156973968,1.6435229890775027,1.066616501807376,True
ctl_ours,xgb_raw_nan,1.033948070194542,0.35821714250127834,1.6804981942837487,0.4603523617676887,False
