auto,wanted,dcv,dlb,NONE,P_NONE,GLOBAL,P_GLOBAL,PERFAM,P_PERFAM
w16e_aonly,w16i_schemeavg,-1.2357945380347957e-06,1.0000000000065512e-05,-1.2238158097557424e-06,0.1835,-1.7671888945667503e-06,0.10424805256725164,-1.6430435045132376e-06,0.098817486183425
w16e_aonly,blend159av_h3,5.258344197733855e-06,3.0000000000085514e-05,5.280681583686997e-06,0.9213333333333333,2.672559678837877e-06,0.7336721411727662,3.557675460714464e-06,0.88978756491757
w16q_ens4avg,w16i_schemeavg,-4.1491356969070026e-06,1.0000000000065512e-05,-4.182949169990013e-06,0.08083333333333333,-6.66750352700686e-06,0.0,-4.035141473180262e-06,0.10344226516161802
w16q_ens4avg,blend159av_h3,2.3450030388616483e-06,3.0000000000085514e-05,2.321548223452726e-06,0.6951666666666667,-2.227754953602233e-06,0.31856906762884885,1.1655774920474408e-06,0.6689525154367524
w16t_cellens4,w16i_schemeavg,-4.293593778514904e-06,1.0000000000065512e-05,-4.316699354478185e-06,0.11866666666666667,-6.203221606442056e-06,0.010229614809228394,-4.123627597802697e-06,0.09103355422495611
w16t_cellens4,blend159av_h3,2.2005449572537472e-06,3.0000000000085514e-05,2.187798038964554e-06,0.656,-1.7634730330374287e-06,0.31856906762884885,1.0770913674250034e-06,0.6576045802215782
