member,oof_pinned,test_pinned,ratio,sd_ratio
bolt_lookup_v2_s42,0.931084558318351,0.9329670403844726,0.9979822630547099,1.0022550089273214
bolt_lookup_v2_s81,0.9315184800012728,0.9335036550546402,0.9978734148038755,1.0023049346947093
bolt_lookup_v2_s959,0.9314736414273709,0.9331492868762277,0.9982043114939667,1.0025335763475283
bolt_lookup_v3_evidence,0.942800443757241,0.9447219391026723,0.9979660731206725,0.9970563824179537
bolt_neural_5fold,0.020644547267812122,0.016145689195482985,1.2786414390776062,1.00355892435002
bolt_realmlp_lattice,0.0,0.0,0.0,1.0032164745593637
bolt_repr_lgb_global,0.0,0.0,0.0,1.0023157498678774
bolt_tabm_missing,0.0,0.0,0.0,1.0048667113812677
bolt_tabm_rank1,1.4464056097395169e-06,0.0,1446.4056097395169,1.0044605068193155
bolt_tabr_retrieval,0.0,0.0,0.0,1.0021171508020714
bolt_xgb_d7_alt1,0.0,0.0,0.0,1.0027672274210013
bolt_xgb_d7_alt2,0.0,0.0,0.0,1.0027672274210013
bolt_xgb_dd_d4,0.0005713302158471092,0.0006716120714676243,0.8506848523413575,1.0032863018717264
bolt_xgb_dd_d5,0.00013017650487655652,0.0001248725962025231,1.0424745607549581,1.003063426117866
bolt_xgb_dd_d6,0.0,0.0,0.0,1.0027880020607247
bolt_xgb_hpo_d7,0.0,0.0,0.0,1.0028548523273935
bolt_xgb_raw_bag,0.0,0.0,0.0,1.0045246526544962
bolt_xgb_te_4fold,0.0,0.0,0.0,1.0024729071926544
bolt_xgb_te_5fold,0.0,0.0,0.0,1.0025329485773369
mkt_cat,0.0,0.0,0.0,1.0021039649023546
mkt_lgb,0.0,0.0,0.0,1.0025174345943033
mkt_nn,0.023671874208996933,0.006948991231918785,3.406519510380869,1.003558299191074
mkt_xgb,0.0023605339550948914,0.0006007384357851111,3.9293872582164413,1.0028098642809467
