a,b,kind_a,kind_b,auc_a,auc_b,deficit,rho,sd_gap,mean_gap,law_rho,law_if,law_if_fpc,r_rho,r_if,r_if_fpc
REF:blend159av_h3,OURS:blend158_logit,ours,ours,0.9700491721182697,0.9699613898723587,8.778224591099448e-05,0.994636311478866,2.8371004052969592e-05,8.930164800814528e-05,5.7242379938552325e-05,3.0003476925405127e-05,2.868881573918601e-05,0.49562935858755114,0.9455905435062009,0.9889221050772647
REF:blend159av_h3,OURS:blend150fx_hybrid,ours,ours,0.9700491721182697,0.9700142363358245,3.493578244517792e-05,0.9993064113545171,1.9125721840164462e-05,3.5846365532456695e-05,2.0574668852044015e-05,1.850502812436919e-05,1.769419402385859e-05,0.9295761685255213,1.0335418952958997,1.0809038159282993
REF:blend159av_h3,OURS:blend156_h3,ours,ours,0.9700491721182697,0.9700461184445183,3.0536737514186285e-06,0.999961678608752,6.28036181055619e-06,3.4998493954920195e-06,4.836230487778551e-06,6.385065547446814e-06,6.105291377687656e-06,1.2986068026383455,0.9836017757198293,1.0286751969788608
REF:blend159av_h3,NAJI:18_blend,ours,foreign,0.9700491721182697,0.9698561724270612,0.00019299969120845084,0.9927860213248082,5.382997976317279e-05,0.0001976141007873587,6.643660171342446e-05,5.9035104913011214e-05,5.644836600783476e-05,0.8102458339962876,0.911830000852743,0.9536144900226421
REF:blend159av_h3,NAJI:12_blend,ours,foreign,0.9700491721182697,0.9694997899300503,0.0005493821882194272,0.9889559017870893,7.511087880666966e-05,0.000554231716855954,8.249168454865216e-05,7.956812842802824e-05,7.608169482686605e-05,0.9105266696592985,0.9439819723120635,0.9872398213209418
REF:blend159av_h3,BOLT:rankavg_top12,ours,foreign,0.9700491721182697,0.969471849165358,0.0005773229529116852,0.996312945818364,7.921315961074399e-05,0.0005781400360754572,4.76210532183241e-05,8.236885399540268e-05,7.875970111054437e-05,1.6634062931700042,0.961688256767117,1.0057574939189162
REF:blend159av_h3,BOLT:rankavg_next12,ours,foreign,0.9700491721182697,0.968584989414142,0.0014641827041277367,0.99296359457821,0.00012459042155023927,0.0014689332510024044,6.649837547642824e-05,0.0001260216209747859,0.00012049973649013525,1.87358594337997,0.9886432231749108,1.033947668096676
REF:blend159av_h3,OURS:stack_pub74_logit,ours,ours,0.9700491721182697,0.9696413515631959,0.0004078205550738234,0.9926674584583073,6.38860256665531e-05,0.00041187471690011485,6.716888395201408e-05,6.658831814620147e-05,6.367062038936926e-05,0.9511253114194026,0.959417919615942,1.0033831188681146
REF:blend159av_h3,OURS:blend160origm_logit,ours,ours,0.9700491721182697,0.9699635759958649,8.55961224047741e-05,0.9947535746978227,2.8023098046971654e-05,8.730434332307341e-05,5.6608647481323234e-05,2.9833108146122795e-05,2.8525912002106046e-05,0.4950321071743898,0.9393288124627948,0.9823734310371122
REF:blend159av_h3,OURS:stack_pub149_hybrid,ours,ours,0.9700491721182697,0.9700183101166489,3.086200162083497e-05,0.9993099799645282,2.003874557322965e-05,3.235426146676094e-05,2.0515852884157154e-05,1.9541800781297542e-05,1.868553845343897e-05,0.9767444564151687,1.025429836149374,1.072420022744468
