tag,keys,equal,insample,xfit,w_insample,w_fold_mean,w_fold_sd,d_xfit_vs_equal,optimism
h3,"['hybrid', 'rankraw', 'rescale']",0.9701205752950482,0.9701208766029016,0.9701196117472624,"[0.44337935236022563, 0.292410191342017, 0.2642104562977573]","[0.43574581359857945, 0.2890547981422627, 0.2751993882591578]","[0.03585886711113071, 0.056845388219487876, 0.028680279639520818]",-9.635477858926933e-07,1.2648556392269583e-06
all4,"['logit', 'hybrid', 'rankraw', 'rescale']",0.9701181652381732,0.9701213202375878,0.9701195043323168,"[0.0786837957169695, 0.3972339359008304, 0.31618485222380255, 0.20789741615839755]","[0.08058072460857198, 0.3904287896249458, 0.31748804895051697, 0.21150243681596526]","[0.03145520124822441, 0.05157904379915822, 0.05676791733543795, 0.042433216209172696]",1.339094143570918e-06,1.8159052710409185e-06
