set,cv_h3,cv_ens4,dcv6,lb_h3,lb_ens4,dlb6
w20_ad187,0.9701008149538332,0.970097889484853,2.9254689801749834,0.97115,0.97116,-10.000000000065512
blend159av,0.9700491721182696,0.9700448767129296,4.295405339971303,0.97105,0.97106,-10.000000000065512
blend160origm,0.970048654980868,0.9700442444424164,4.410538451571355,0.97105,0.97106,-10.000000000065512
blend158,0.9700483189336572,0.97004322665942,5.092274237172845,0.97105,0.97106,-10.000000000065512
w14a_repro159av,0.9700472004643722,0.9700436164293268,3.5840350454119374,0.97105,0.97106,-10.000000000065512
blend159,0.9700469365091934,0.9700433779222748,3.558586918583906,0.97105,0.97106,-10.000000000065512
blend160orig,0.9700463311228632,0.9700423076141412,4.023508721973101,0.97105,0.97106,-10.000000000065512
blend156,0.9700461184445184,0.9700416046775032,4.513767015157377,0.97105,0.97106,-10.000000000065512
