rep,base165,gate_cat4,pack,ravi_xgb1c,ravi_lgbm1c,both
0,0.970104429064863,0.9701465805744164,0.9701606750420025,0.9701700088915295,0.9701695979481879,0.970175090616161
1,0.9702911776650102,0.9703329592727825,0.9703300944013508,0.970339765148911,0.9703412043639945,0.970336484543926
2,0.9704176244400222,0.9704571060560031,0.9704645634821298,0.9704775072028126,0.9704767945573162,0.9704798547313671
3,0.9698056120788282,0.9698589320484428,0.9698743298595955,0.9698733817630093,0.969872809495076,0.9698731785037668
4,0.9697524162081761,0.9697957847562931,0.969803475278999,0.969819316956051,0.9698170727824057,0.9698204142799141
