file,sent,cv,rows,md5,stem,fam,std,corr,pred_lb,p_beat,priority
w29_ad194std_hybrid.csv,False,0.9701056245229752,296302,60b20e10c2018fcd577f988e9a05e74d,w29_ad194std_hybrid,hybrid,True,False,0.9711399597664869,3.1842104508683633e-09,0
w27_ad190std_hybrid.csv,False,0.9701027988573376,296302,326a358dbbe44d422b194abc0f04b891,w27_ad190std_hybrid,hybrid,True,False,0.9711347143995247,4.49463799512273e-11,0
w34_ad196std_rankraw.csv,False,0.9700979782970404,296302,4a745e393c504a4e3b6d3ed7cf5d0591,w34_ad196std_rankraw,rankraw,True,False,0.9711341170410088,2.6894153570822255e-11,0
w34_ad195std_rankraw.csv,False,0.970097811552184,296302,fe877439a149783f5d453063ec236679,w34_ad195std_rankraw,rankraw,True,False,0.9711338075075846,2.0563439839804687e-11,0
w27_ad188raw_rankraw.csv,False,0.9700976053842976,296302,a254f539ea2d64141efd4b28d25c57bf,w27_ad188raw_rankraw,rankraw,True,False,0.9711334247920199,1.472433286409114e-11,0
w27_ad188raw_hybrid.csv,False,0.9701001699770168,296302,35a8aed63a8c24a951357270c31dba67,w27_ad188raw_hybrid,hybrid,True,False,0.9711298343309845,5.70987701564718e-13,0
w27_ad190std_rankraw.csv,False,0.9700951828849884,296302,fe935ad6dd5e0584f24c17289b3d8d49,w27_ad190std_rankraw,rankraw,True,False,0.9711289278346753,2.431388423929093e-13,0
w27_ad188std_hybrid.csv,False,0.970099312098582,296302,c5fcc8dccbcf8ba0961247be3dd56228,w27_ad188std_hybrid,hybrid,True,False,0.9711282418257924,1.2634338020234281e-13,0
w27_ad188std_rankraw.csv,False,0.970093048677691,296302,ad9758756e6b06779a50351a12f18c89,w27_ad188std_rankraw,rankraw,True,False,0.9711249660423458,4.9960036108132044e-15,0
w29_ad194std_rankraw.csv,False,0.970093006727608,296302,8c71607cb02f33f238346a48bf56fc03,w29_ad194std_rankraw,rankraw,True,False,0.9711248881691622,4.551914400963142e-15,0
blend160origm_logit.csv,False,0.9699635759958648,296302,e1dd25c9a32afa2538daa6fadb4ac2f2,blend160origm_logit,logit,False,False,0.9710424963745802,0.0,0
blend156_logit.csv,False,0.9699618031215244,296302,25d63994430899784937f20c65ebe253,blend156_logit,logit,False,False,0.9710392053353397,0.0,0
blend160orig_logit.csv,False,0.969961779850316,296302,c17260144e551b0d77c0f22c58e704f3,blend160orig_logit,logit,False,False,0.971039162136305,0.0,0
blend160orig_rankraw.csv,False,0.9700342765404696,296302,6616985d547471c1bfb2152056e7b87d,blend160orig_rankraw,rankraw,False,False,0.9710389586881344,0.0,0
