a,b,dcv,dlb,sd,p_reverse
blend150fx_hybrid,blend156w2,-3.222957330950571e-05,-5.999999999994898e-05,1.9491215733995006e-05,0.038
blend150fx_hybrid,blend158,-2.899032359537923e-05,-7.00000000000145e-05,1.97965101398246e-05,0.048
blend150fx_hybrid,blend158_h3,-3.4082597832552075e-05,-5.999999999994898e-05,1.746495603155606e-05,0.02
blend150fx_hybrid,blend158_hybrid,-1.4096988680933897e-05,-3.999999999992898e-05,1.3092134918575385e-05,0.114
blend150fx_hybrid,blend158_logit,5.284646346581656e-05,-7.00000000000145e-05,3.6111159050854485e-05,0.066
blend150fx_hybrid,blend158_rankraw,-2.2183586461443916e-05,-4.999999999999449e-05,2.5290814328919292e-05,0.178
blend150fx_hybrid,blend158_rescale,-1.3136673289171341e-05,-5.999999999994898e-05,2.5433723580187567e-05,0.286
blend150fx_hybrid,blend159,-2.914158645039855e-05,-7.00000000000145e-05,1.9909523272892615e-05,0.052
blend150fx_hybrid,blend159_h3,-3.270017336887143e-05,-5.999999999994898e-05,1.7873854902098392e-05,0.026
blend150fx_hybrid,blend159av,-3.064037710520662e-05,-7.00000000000145e-05,1.9751435541152316e-05,0.046
blend150fx_hybrid,blend159av_h3,-3.493578244517792e-05,-5.999999999994898e-05,1.7486439387790514e-05,0.028
blend150fx_hybrid,blend159av_w,-3.3942092710237404e-05,-5.999999999994898e-05,1.8397168664308323e-05,0.032
blend150fx_hybrid,blend159av_wh3,-3.502058585469481e-05,-5.999999999994898e-05,1.8145970713165966e-05,0.026
blend150fx_hybrid,blend160orig,-2.8071278316721404e-05,-7.00000000000145e-05,1.9924350787758542e-05,0.06
blend150fx_hybrid,blend160orig_h3,-3.209478703847246e-05,-5.999999999994898e-05,1.7861887902787597e-05,0.03
blend150fx_hybrid,blend160origm,-3.0008106592038786e-05,-7.00000000000145e-05,1.997934151423463e-05,0.044
blend150fx_hybrid,blend160origm_h3,-3.4418645043388096e-05,-5.999999999994898e-05,1.79919561812037e-05,0.026
blend150fx_hybrid,blendtop3,-3.5224069382611134e-05,-5.999999999994898e-05,1.744141642246337e-05,0.022
blend150fx_hybrid,stack_pub149_hybrid,-4.073780824342954e-06,0.0,1.0318075396427559e-05,0.336
blend150fx_hybrid,stack_pub151_fixed_rankraw,-1.0265586677382643e-05,-3.999999999992898e-05,2.3731269447781802e-05,0.32
blend150fx_hybrid,stack_pub151_hybrid,-1.0058216157404765e-05,0.0,7.772398088765922e-06,0.084
blend150fx_hybrid,stack_pub151_rankraw,-8.829500410478808e-06,-2.999999999997449e-05,2.2485921803833483e-05,0.348
blend150fx_hybrid,stack_pub86_hybrid,0.0003364359607560541,0.00019000000000002348,6.0258793386485434e-05,0.0
blend150fx_hybrid,stack_pub88_mine_logit,0.00035428981862106745,0.000180000000000069,6.52909872607761e-05,0.0
blend150fx_hybrid,w16e_aonly,-4.0194126642911776e-05,-9.00000000000345e-05,1.8916041829736204e-05,0.018
blend150fx_hybrid,w16h_h3av6,-3.4492675496933245e-05,-5.999999999994898e-05,1.737354310886951e-05,0.022
blend150fx_hybrid,w16i_schemeavg,-4.142992118094657e-05,-7.999999999996898e-05,1.8639517996710103e-05,0.016
blend150fx_hybrid,w16l_maskw_h3,-3.1503877977456796e-05,-5.999999999994898e-05,1.8551351000250613e-05,0.034
blend150fx_hybrid,w16n_finegrid,-4.1460139245996785e-05,-7.999999999996898e-05,1.8608742803487754e-05,0.016
blend150fx_hybrid,w16q_ens4avg,-3.728078548403957e-05,-9.00000000000345e-05,2.0717754466177197e-05,0.026
blend150fx_hybrid,w16t_cellens4,-3.713632740243167e-05,-9.00000000000345e-05,2.138477708081015e-05,0.032
blend150fx_logit,blend150fx_rankraw,-7.423477946688628e-05,9.99999999995449e-06,3.735254459137595e-05,0.024
blend150fx_logit,blend150fx_rescale,-6.269982600659585e-05,9.99999999995449e-06,2.8729676737480272e-05,0.012
blend150fx_logit,blend150sx,-8.321104173747429e-05,-1.0000000000065512e-05,2.377712145351186e-05,0.0
blend150fx_logit,blend150sx_hybrid,-6.625446504016086e-05,1.999999999990898e-05,3.3754685825906614e-05,0.022
blend150fx_logit,blend150sx_logit,-5.546143992507524e-06,-1.0000000000065512e-05,7.62759041247201e-06,0.258
blend150fx_logit,blend150sx_rankraw,-7.201980290971743e-05,9.99999999995449e-06,3.770951220496537e-05,0.026
blend150fx_logit,blend153,-8.449152146117189e-05,-1.0000000000065512e-05,2.392027078466763e-05,0.0
blend150fx_logit,blend156,-9.176762557472351e-05,-3.0000000000085514e-05,2.519438804884919e-05,0.0
blend150fx_logit,blend156_h3,-9.628139258988089e-05,-2.0000000000020002e-05,3.1551338282379325e-05,0.002
blend150fx_logit,blend156_rankraw,-8.624136308998942e-05,-1.0000000000065512e-05,3.796787185137302e-05,0.016
blend150fx_logit,blend156_rescale,-7.527776194471425e-05,-2.0000000000020002e-05,3.021373121849855e-05,0.004
blend150fx_logit,blend156w,-9.682024335866402e-05,-2.0000000000020002e-05,3.106897825687977e-05,0.0
blend150fx_logit,blend156w2,-9.66288572056273e-05,-2.0000000000020002e-05,3.106513005090865e-05,0.0
blend150fx_logit,blend158,-9.338960749150083e-05,-3.0000000000085514e-05,2.518963084692338e-05,0.0
blend150fx_logit,blend158_h3,-9.848188172867367e-05,-2.0000000000020002e-05,3.1608865470494445e-05,0.0
blend150fx_logit,blend158_hybrid,-7.849627257705549e-05,0.0,3.4472662073943986e-05,0.014
blend150fx_logit,blend158_logit,-1.1552820430305033e-05,-3.0000000000085514e-05,1.3557872120289877e-05,0.17
blend150fx_logit,blend158_rankraw,-8.658287035756551e-05,-1.0000000000065512e-05,3.7925147209685e-05,0.01
blend150fx_logit,blend158_rescale,-7.753595718529294e-05,-2.0000000000020002e-05,3.0337347650909794e-05,0.002
blend150fx_logit,blend159,-9.354087034652014e-05,-3.0000000000085514e-05,2.5366608264562715e-05,0.0
blend150fx_logit,blend159_h3,-9.709945726499303e-05,-2.0000000000020002e-05,3.194282215452151e-05,0.002
blend150fx_logit,blend159av,-9.503966100132821e-05,-3.0000000000085514e-05,2.567910457892124e-05,0.0
blend150fx_logit,blend159av_h3,-9.933506634129952e-05,-2.0000000000020002e-05,3.210343604282451e-05,0.002
blend150fx_logit,blend159av_w,-9.8341376606359e-05,-2.0000000000020002e-05,3.1349986048096385e-05,0.0
blend150fx_logit,blend159av_wh3,-9.94198697508164e-05,-2.0000000000020002e-05,3.2701485738837855e-05,0.002
