episode,metric,teams,band_n,band_median_private_pct,band_p10,band_p90,band_kept_gold,band_kept_top5pct,band_kept_top10pct,top10_kept,spearman
S6E1,Root Mean Squared Error,4317,32,3.509381514940931,0.44243687746119986,6.337734537873524,9.375,71.875,100.0,8,0.9947484912960151
S6E2,Roc Auc,4370,32,10.926773455377575,7.739130434782609,12.514874141876431,3.125,6.25,28.125,0,0.9904427768882726
S6E3,Roc Auc,4142,30,2.5470787059391595,0.736359246740705,3.2761950748430717,6.666666666666667,100.0,100.0,6,0.991720064800384
S6E4,Balanced Accuracy,4315,32,6.280417149478564,1.4020857473928159,9.216685979142532,6.25,18.75,90.625,5,0.987771755590648
S6E5,Roc Auc,3022,22,6.121773659827928,0.3739245532759762,15.148908007941762,22.727272727272727,45.45454545454545,72.72727272727273,8,0.9927070663055407
S6E6,Balanced Accuracy,2816,20,14.541903409090912,5.482954545454546,17.233664772727273,0.0,5.0,20.0,0,0.9873328246687532
S6E7,Balanced Accuracy,3355,24,18.107302533532042,3.290611028315947,18.381520119225037,0.0,16.666666666666664,25.0,0,0.9550266094812663
