rep,std,lam,C,auc
0,False,0.0,1.0,0.9703604162036997
0,False,1e-08,180.80076659525037,0.9703578609936854
0,False,3e-08,60.26692219841679,0.9703624292149454
0,False,1e-07,18.080076659525037,0.9703624561092222
0,False,3e-07,6.02669221984168,0.9703613152590753
0,False,1e-06,1.8080076659525037,0.9703589627710151
0,False,3e-06,0.6026692219841678,0.970359905085581
0,False,1e-05,0.18080076659525035,0.9703584869199195
0,True,0.0,1.0,0.9703747903066243
0,True,1e-08,180.80076659525037,0.9703748240513301
0,True,3e-08,60.26692219841679,0.9703669314691115
0,True,1e-07,18.080076659525037,0.9703658007677483
0,True,3e-07,6.02669221984168,0.9703653833990189
0,True,1e-06,1.8080076659525037,0.9703671426906719
0,True,3e-06,0.6026692219841678,0.9703696659320178
0,True,1e-05,0.18080076659525035,0.9703707092269815
1,False,0.0,1.0,0.9698411583798365
1,False,1e-08,180.80076659525037,0.9698464419634873
1,False,3e-08,60.26692219841679,0.9698501824245771
1,False,1e-07,18.080076659525037,0.9698417867164069
1,False,3e-07,6.02669221984168,0.9698489400865934
1,False,1e-06,1.8080076659525037,0.9698408290518057
1,False,3e-06,0.6026692219841678,0.9698416115230284
1,False,1e-05,0.18080076659525035,0.9698458850489821
1,True,0.0,1.0,0.9698654095327709
1,True,1e-08,180.80076659525037,0.9698637986670793
1,True,3e-08,60.26692219841679,0.9698700853311384
1,True,1e-07,18.080076659525037,0.9698680274115247
1,True,3e-07,6.02669221984168,0.9698662337408667
1,True,1e-06,1.8080076659525037,0.9698679741304104
1,True,3e-06,0.6026692219841678,0.96986552218427
1,True,1e-05,0.18080076659525035,0.9698731201980418
2,False,0.0,1.0,0.9703185378820877
2,False,1e-08,180.80076659525037,0.9703179935267023
2,False,3e-08,60.26692219841679,0.9703176359089369
2,False,1e-07,18.080076659525037,0.9703175126012151
2,False,3e-07,6.02669221984168,0.9703161031888796
2,False,1e-06,1.8080076659525037,0.9703208100678969
2,False,3e-06,0.6026692219841678,0.9703143751047361
2,False,1e-05,0.18080076659525035,0.9703183894561261
2,True,0.0,1.0,0.9703375554341312
2,True,1e-08,180.80076659525037,0.9703368998227047
2,True,3e-08,60.26692219841679,0.970337314781098
2,True,1e-07,18.080076659525037,0.970339669172055
2,True,3e-07,6.02669221984168,0.9703362589270145
2,True,1e-06,1.8080076659525037,0.9703406615962404
2,True,3e-06,0.6026692219841678,0.9703378847621621
2,True,1e-05,0.18080076659525035,0.9703380617315776
