stem,cv,sent,lb
w16n_finegrid,0.9700556964750705,True,0.97107
w16i_schemeavg,0.9700556662570055,True,0.97107
w16m_widegrid,0.9700556662570055,False,
w16e_aonly,0.9700544304624674,True,0.97108
w16q_ens4avg,0.9700515171213085,True,0.97108
w16t_cellens4,0.9700513726632269,True,0.97108
blendtop3,0.9700494604052071,True,0.97105
blend159av_wh3,0.9700492569216792,True,0.97105
blend159av_h3,0.9700491721182697,True,0.97105
w16h_h3av6,0.9700487290113214,True,0.97105
blend160origm_h3,0.9700486549808679,True,0.97105
blend158_h3,0.9700483189336571,True,0.97105
blend159av_w,0.9700481784285347,True,0.97105
w14a_repro159av_h3,0.9700472004643722,True,0.97105
blend159_h3,0.9700469365091934,True,0.97105
blend156w,0.970046657295287,True,0.97105
blend156w2,0.970046465909134,True,0.97105
blend160orig_h3,0.970046331122863,True,0.97105
blend156_h3,0.9700461184445183,True,0.97105
w16l_maskw_h3,0.970045740213802,True,0.97105
blend159av,0.9700448767129297,True,0.97106
blend160origm,0.9700442444424165,True,0.97106
w14a_repro159av,0.9700436164293268,False,
blend159,0.9700433779222749,True,0.97106
blend158,0.9700432266594199,True,0.97106
blend160orig,0.9700423076141412,True,0.97106
blend156,0.9700416046775031,True,0.97106
blend158_rankraw,0.970036419922286,True,0.97104
blend156_rankraw,0.9700360784150184,True,0.97104
blend153,0.9700343285733896,True,0.97104
blend160orig_rankraw,0.9700342765404695,False,
blend159av_rankraw,0.9700338606526145,False,
blend160origm_rankraw,0.970033127076736,False,
blend150sx,0.9700330480936659,True,0.97104
blend159_rankraw,0.9700325394457389,False,
blend150fx,0.9700319433658621,True,0.97104
w14a_repro159av_rankraw,0.9700313094207962,False,
blend159av_hybrid,0.9700291725494377,True,0.97102
blend159av_rescale,0.9700286702343646,False,
blend158_hybrid,0.9700283333245054,True,0.97103
blend158_rescale,0.9700273730091137,True,0.97105
blend160origm_hybrid,0.9700273084068993,False,
w14a_repro159av_rescale,0.9700271740621013,False,
blend160origm_rescale,0.9700270088294171,False,
blend153_rankraw,0.9700266911160214,False,
blend159_rescale,0.9700258921564706,False,
w14a_repro159av_hybrid,0.9700258630141788,False,
blend160orig_hybrid,0.9700254919891137,False,
blend156_rescale,0.9700251148138731,True,0.97105
stack_pub151_fixed_rankraw,0.9700245019225019,True,0.97103
blend159_hybrid,0.9700244514017536,False,
stack_pub151_hybrid,0.9700242945519819,True,0.97099
blend150fx_rankraw,0.9700240718313953,True,0.97102
blend160orig_rescale,0.9700233486631156,False,
stack_pub151_rankraw,0.970023065836235,True,0.97102
blend156_hybrid,0.9700230484868538,False,
blend150sx_rankraw,0.9700218568548381,True,0.97102
blend153_rescale,0.9700197991441538,False,
stack_pub149_hybrid,0.9700183101166489,True,0.97099
blend150sx_rescale,0.9700170339298694,False,
blend153_hybrid,0.9700168430359333,False,
blend150sx_hybrid,0.9700160915169685,True,0.97101
blend150fx_hybrid,0.9700142363358245,True,0.97099
blend150fx_rescale,0.970012536877935,True,0.97102
w14a_repro159av_logit,0.9699648697654479,False,
blend159av_logit,0.9699647645223465,True,0.97106
blend159_logit,0.9699646622223983,False,
blend160origm_logit,0.9699635759958649,False,
blend156_logit,0.9699618031215245,False,
blend160orig_logit,0.969961779850316,False,
blend158_logit,0.9699613898723587,True,0.97106
blend150sx_logit,0.9699553831959209,True,0.97104
blend153_logit,0.9699540296194336,False,
blend150fx_logit,0.9699498370519284,True,0.97103
stack_pub86_hybrid,0.9696778003750685,True,0.9708
stack_pub88_mine_logit,0.9696599465172034,True,0.97081
stack_pub74_logit,0.9696413515631959,True,0.97081
