stem,lb,lo,n_sent,cv,fam,std,pack,build,in_fit,raw_pred,res6
w29_ad194stdcorr_ens4,0.97119,0.97119,1,0.9701159502920627,ens4,True,194.0,29.0,False,0.971181438215733,8.561784267002714
w23_ad187stdcorr,0.97116,0.97116,1,0.9701150808744374,h3,True,187.0,23.0,True,0.9711661159246409,-6.1159246408371
w29_ad194std_h3,0.97115,0.97115,1,0.9701140063799218,h3,True,194.0,29.0,False,0.9711515161325607,-1.5161325607193632
w27_ad188raw_h3,0.97115,0.97115,1,0.9701136018891743,h3,True,188.0,27.0,False,0.9711507652643844,-0.7652643844169305
w50_ad216std_rankraw,0.97114,0.97114,1,0.9701134182008893,rankraw,True,216.0,50.0,False,0.9711627785926349,-22.778592634886685
w27_ad190std_h3,0.97116,0.97116,1,0.9701133391214054,h3,True,190.0,27.0,False,0.9711502774807785,9.722519221488923
w36_ad197std_hybrid,0.97114,0.97114,1,0.9701124257188621,hybrid,True,197.0,36.0,False,0.9711525850282074,-12.58502820744578
w29_ad194std,0.97116,0.97116,1,0.9701116199443892,ens4,True,194.0,29.0,True,0.9711607944868327,-0.7944868326559273
w27_ad188std_h3,0.97115,0.97115,1,0.970111472035714,h3,True,188.0,27.0,True,0.9711468115542121,3.18844578783839
w27_ad188raw,0.97116,0.97116,1,0.9701113750689625,ens4,True,188.0,27.0,True,0.9711603399173124,-0.3399173124085664
w36_ad199std_rankraw,0.97114,0.97114,1,0.9701111921519867,rankraw,True,199.0,36.0,False,0.9711586463120089,-18.646312008874233
w27_ad190std,0.97117,0.97117,1,0.970110933814171,ens4,True,190.0,27.0,True,0.9711595208029508,10.479197049217959
w34_ad195std_hybrid,0.97113,0.97113,1,0.9701108333105612,hybrid,True,195.0,34.0,False,0.9711496289934308,-19.628993430775843
w27_ad188std,0.97116,0.97116,1,0.9701093456480703,ens4,True,188.0,27.0,True,0.9711565726430961,3.4273569039511287
w23_ad187std_h3,0.97114,0.97114,1,0.9701092750631358,h3,True,187.0,23.0,True,0.9711427332488297,-2.7332488297115987
w34_ad196std_hybrid,0.97113,0.97113,1,0.9701091249775423,hybrid,True,196.0,34.0,False,0.9711464577641604,-16.45776416037137
w36_ad197std_rescale,0.97115,0.97115,1,0.9701085984575708,rescale,True,197.0,36.0,False,0.9711761012947695,-26.101294769542704
w69_ad208std_rankraw,0.97114,0.97114,1,0.9701073320136435,rankraw,True,208.0,69.0,False,0.9711514806226698,-11.480622669757246
w21_ad187corr,0.97117,0.97117,1,0.970106881371208,h3,False,187.0,21.0,True,0.9711739880514295,-3.98805142953762
w38_ad202std_rankraw,0.97114,0.97114,1,0.9701067553636527,rankraw,True,202.0,38.0,False,0.9711504101701822,-10.410170182217904
w23_ad187std,0.97115,0.97115,1,0.9701058972467212,ens4,True,187.0,23.0,True,0.9711501712733557,-0.17127335572020286
w29_ad194std_hybrid,0.97114,0.97114,1,0.9701056245229753,hybrid,True,194.0,29.0,False,0.9711399597664871,0.04023351285464827
w34_ad195std_rescale,0.97115,0.97115,1,0.9701055638940178,rescale,True,195.0,34.0,False,0.9711704681444088,-20.46814440881395
w40_ad211std_rankraw,0.97114,0.97114,1,0.9701044021654542,rankraw,True,211.0,40.0,False,0.9711460418585457,-6.04185854569117
w21_ad187corr_ens4,0.97118,0.97118,1,0.9701039330674182,ens4,False,187.0,21.0,True,0.9711822233929847,-2.2233929846127154
w34_ad196std_rescale,0.97115,0.97115,1,0.9701039146473381,rescale,True,196.0,34.0,False,0.9711674065988631,-17.406598863178857
w27_ad190std_hybrid,0.97114,0.97114,1,0.9701027988573375,hybrid,True,190.0,27.0,False,0.9711347143995245,5.285600475524177
w29_ad194stdcorr_rescale,0.97117,0.97117,1,0.9701012579592934,rescale,True,194.0,29.0,False,0.9711750800860501,-5.0800860501576395
w36_ad197std_rankraw,0.97114,0.97114,1,0.9701011303330037,rankraw,True,197.0,36.0,False,0.9711399682588905,0.03174110951853493
w20_ad187_h3,0.97115,0.97115,1,0.9701008149538332,h3,False,187.0,20.0,True,0.971150121604832,-0.12160483209289197
w29_ad194stdcorr_rankraw,0.97116,0.97116,1,0.9701005595540964,rankraw,True,194.0,29.0,False,0.9711515138810994,8.486118900585815
w27_ad188raw_hybrid,0.97113,0.97113,1,0.9701001699770166,hybrid,True,188.0,27.0,False,0.9711298343309843,0.16566901572812043
w22_ad187corr_rankraw,0.97117,0.97117,1,0.9701001354964539,rankraw,False,187.0,22.0,True,0.9711738197982333,-3.819798233273275
w27_ad188std_hybrid,0.97113,0.97113,1,0.9700993120985821,hybrid,True,188.0,27.0,False,0.9711282418257927,1.758174207333596
w27_ad190std_rescale,0.97115,0.97115,1,0.970099001418308,rescale,True,190.0,27.0,True,0.9711582860260358,-8.286026035864147
w27_ad188raw_rescale,0.97115,0.97115,1,0.9700989713676981,rescale,True,188.0,27.0,True,0.9711582302421972,-8.230242197204696
w34_ad196std_rankraw,0.97113,0.97113,1,0.9700979782970403,rankraw,True,196.0,34.0,False,0.9711341170410087,-4.117041008666611
w20_ad187,0.97116,0.97116,1,0.970097889484853,ens4,False,187.0,20.0,True,0.971158399335322,1.600664678025332
w29_ad194std_rescale,0.97115,0.97115,1,0.9700978808735926,rescale,True,194.0,29.0,True,0.9711562059256335,-6.205925633495646
w34_ad195std_rankraw,0.97113,0.97113,1,0.9700978115521841,rankraw,True,195.0,34.0,False,0.9711338075075847,-3.8075075846633055
w23_ad187std_hybrid,0.97112,0.97112,1,0.9700977969987988,hybrid,True,187.0,23.0,False,0.971125429301111,-5.429301111026241
w23_ad187std_h3_hybrid,0.97112,0.97112,1,0.9700977969987988,hybrid,True,187.0,23.0,True,0.971125429301111,-5.429301111026241
w27_ad188raw_rankraw,0.97115,0.97115,1,0.9700976053842976,rankraw,True,188.0,27.0,False,0.9711334247920199,16.57520798004075
w27_ad188std_rescale,0.97114,0.97114,1,0.970096268573635,rescale,True,188.0,27.0,False,0.9711532129653841,-13.21296538414618
w27_ad190std_rankraw,0.97115,0.97115,1,0.9700951828849882,rankraw,True,190.0,27.0,False,0.9711289278346749,21.072165325097814
w23_ad187std_h3_rescale,0.97114,0.97114,1,0.9700937038591301,rescale,True,187.0,23.0,True,0.9711484520097522,-8.45200975219118
w23_ad187std_rescale,0.97114,0.97114,1,0.9700937038591301,rescale,True,187.0,23.0,False,0.9711484520097522,-8.45200975219118
w27_ad188std_rankraw,0.97115,0.97115,1,0.9700930486776909,rankraw,True,188.0,27.0,False,0.9711249660423455,25.033957654407857
w29_ad194std_rankraw,0.97114,0.97114,1,0.9700930067276081,rankraw,True,194.0,29.0,False,0.9711248881691624,15.1118308375775
w23_ad187std_h3_rankraw,0.97114,0.97114,1,0.97009179122053,rankraw,True,187.0,23.0,True,0.9711226317873084,17.368212691604157
w23_ad187std_rankraw,0.97114,0.97114,1,0.97009179122053,rankraw,True,187.0,23.0,False,0.9711226317873084,17.368212691604157
w20_ad187_rankraw,0.97114,0.97114,1,0.9700915299750819,rankraw,False,187.0,20.0,True,0.9711452399375493,-5.239937549306184
w20_ad187_rescale,0.97115,0.97115,1,0.9700778470728432,rescale,False,187.0,20.0,True,0.971142109694805,7.890305194990788
w20_ad187_hybrid,0.97113,0.97113,1,0.9700773469651351,hybrid,False,187.0,20.0,True,0.9711105604047737,19.43959522632266
w50_ad216std_logit,0.97115,0.97115,1,0.9700665849852123,logit,True,216.0,50.0,False,0.9712106219099276,-60.62190992761618
w69_ad208std_logit,0.97116,0.97116,1,0.9700603176621057,logit,True,208.0,69.0,False,0.9711989876920895,-38.98769208943165
w40_ad211std_logit,0.97116,0.97116,1,0.9700578440584922,logit,True,211.0,40.0,False,0.9711943958683085,-34.39586830844554
w38_ad202std_logit,0.97116,0.97116,1,0.9700575874003036,logit,True,202.0,38.0,False,0.9711939194260977,-33.91942609765053
w36_ad199std_logit,0.97117,0.97117,1,0.9700571065601007,logit,True,199.0,36.0,False,0.9711930268281623,-23.026828162353574
w16n_finegrid,0.97107,0.97107,1,0.9700556964750705,ens4,False,,16.0,True,0.9710800751993707,-10.075199370684906
w16i_schemeavg,0.97107,0.97107,1,0.9700556662570055,ens4,False,,16.0,True,0.9710800191046799,-10.019104679903634
w16m_widegrid,0.97107,0.97107,1,0.9700556662570055,ens4,False,,16.0,False,0.9710800191046799,-10.019104679903634
w16e_aonly,0.97108,0.97108,1,0.9700544304624675,ens4,False,,16.0,True,0.9710777250626124,2.2749373876918
w16q_ens4avg,0.97108,0.97108,1,0.9700515171213084,ens4,False,,16.0,True,0.9710723169409782,7.683059021879046
w16t_cellens4,0.97108,0.97108,1,0.9700513726632269,ens4,False,,16.0,True,0.9710720487791553,7.951220844737428
w34_ad196std_logit,0.97116,0.97116,1,0.9700495032230128,logit,True,196.0,34.0,False,0.9711789125279303,-18.912527930292633
w16h_h3av6,0.97105,0.97105,1,0.9700487290113216,ens4,False,,16.0,True,0.9710671412896846,-17.14128968466344
w14a_repro159av_h3,0.97105,0.97105,1,0.9700472004643722,h3,False,,14.0,True,0.9710505954372713,-0.5954372713778966
w36_ad197std_logit,0.97116,0.97116,1,0.9700458725948065,logit,True,197.0,36.0,False,0.9711721728850681,-12.172885068051364
w16l_maskw_h3,0.97105,0.97105,1,0.970045740213802,h3,False,,16.0,True,0.9710478847308113,2.1152691886960895
w34_ad195std_logit,0.97115,0.97115,1,0.9700443435657891,logit,True,195.0,34.0,False,0.9711693345031358,-19.33450313584828
blend160origm,0.97106,0.97106,1,0.9700442444424164,ens4,False,,,True,0.9710588164513662,1.1835486338762635
w14a_repro159av,0.97106,0.97106,1,0.9700436164293267,ens4,False,,14.0,True,0.9710576506520342,2.3493479658354133
blend159,0.97106,0.97106,1,0.9700433779222748,ens4,False,,,True,0.971057207904317,2.7920956829907695
blend160orig,0.97106,0.97106,1,0.9700423076141413,ens4,False,,,True,0.9710552210595722,4.778940427829781
w29_ad194std_logit,0.97116,0.97116,1,0.9700399361886902,logit,True,194.0,29.0,True,0.9711611529582577,-1.1529582576441655
w27_ad190std_logit,0.97116,0.97116,1,0.9700395047477925,logit,True,190.0,27.0,True,0.9711603520617182,-0.3520617182228847
