rep,base,xgb5,cat5,lgb5,lgb7,gbdt17,nonGBDT5,cat4
0,0.9701182730612037,0.9701456233845465,0.9701596119397373,0.9701226906107874,0.9701504615796802,0.9701831160883395,0.9701259062231526,0.9701648861659322
1,0.970298569124237,0.970330257755693,0.9703547902572268,0.9703178466010184,0.9703084420755693,0.9703336269390018,0.9703186712075675,0.9703540474902289
2,0.9704271628884271,0.9704571839578376,0.9704721483360104,0.9704370835794977,0.9704544247552314,0.970482906136895,0.9704359828050582,0.9704708055746836
3,0.9698230212106176,0.96985559229652,0.9698733346321964,0.9698380666976312,0.9698586372880353,0.9698854692942207,0.9698271324302143,0.9698709122870282
4,0.9697877504749964,0.9698221027483926,0.9698220132363835,0.9697960381503798,0.9698176163090679,0.9698217639829885,0.9697828256095047,0.9698283353823077
