auto,wanted,dcv,dlb,e_closed,sd_closed,p_closed,e_grid,e_perfam,sd_perfam,e_w17g
w16e_aonly,w16i_schemeavg,-1.2357945380347957,10.000000000065512,-2.266766568156177,1.3300126814682662,0.04416070554424012,-2.26676656958865,-2.2667665684177543,1.3300126814682662,-2.3063874659556887
w16e_aonly,blend159av_h3,5.258344197733855,30.000000000085514,2.9881037590693733,3.5843764417425117,0.7977599624054598,2.98810375906762,2.9881037590349533,3.584376441741497,2.8012910862490137
w16q_ens4avg,w16i_schemeavg,-4.149135696907003,10.000000000065512,-5.447429565987813,2.9385588222740187,0.03188561288362435,-5.447429564720725,-4.164506053838611,3.0099360462397993,-5.416601846609147
w16q_ens4avg,blend159av_h3,2.3450030388616483,30.000000000085514,-0.19255923876226255,4.330048077708621,0.48226469826790175,-0.19255923606445435,1.0903642736140968,4.378801594716935,-0.2481879834435117
w16t_cellens4,w16i_schemeavg,-4.293593778514904,10.000000000065512,-5.60514280644361,3.580838631871371,0.05875445585920325,-5.605142808944219,-4.3222192945408775,3.639641789768819,-5.562468787118077
w16t_cellens4,blend159av_h3,2.200544957253747,30.000000000085514,-0.35027247921806026,5.149501619534363,0.472884595551079,-0.3502724802879489,0.9326510329118305,5.190563936612445,-0.3823039034849306
