a,b,dcv,dlb,sd,p_reverse,ga,gb,same,r,sd_pred,z
blend150fx,blend159av,-1.2933347067645151e-05,-2.000000000002e-05,1.2756744509089027e-05,0.128,ens4,ens4,True,-7.066652932374847e-06,1.3394073209328061e-05,-0.5275955134733327
blend150fx,blend159av_h3,-1.7228752407616454e-05,-9.99999999995449e-06,1.4323633935156928e-05,0.114,ens4,h3,False,7.228752407661965e-06,1.4894064447794156e-05,0.48534450975418997
blend150fx,blend159av_w,-1.6235062672675937e-05,-9.99999999995449e-06,1.4256859419952064e-05,0.122,ens4,w,False,6.2350626727214475e-06,1.4829858636782165e-05,0.4204397914661682
blend150fx,blend159av_wh3,-1.731355581713334e-05,-9.99999999995449e-06,1.4816105575285309e-05,0.12,ens4,wh3,False,7.313555817178852e-06,1.536826766700356e-05,0.47588680621963797
blend150fx,blend160orig,-1.0364248279159938e-05,-2.000000000002e-05,1.298843569403723e-05,0.182,ens4,ens4,True,-9.63575172086006e-06,1.3614923005467459e-05,-0.7077345730850296
blend150fx,blend160orig_h3,-1.4387757000910996e-05,-9.99999999995449e-06,1.4587642372483524e-05,0.16,ens4,h3,False,4.3877570009565065e-06,1.514813442817773e-05,0.28965659248406467
blend150fx,blend160origm,-1.230107655447732e-05,-2.000000000002e-05,1.2836921240749267e-05,0.146,ens4,ens4,True,-7.698923445542679e-06,1.347045706751877e-05,-0.5715413669300833
blend150fx,blend160origm_h3,-1.671161500582663e-05,-9.99999999995449e-06,1.4468489631692932e-05,0.12,ens4,h3,False,6.71161500587214e-06,1.5033424722566463e-05,0.44644617774933404
blend150fx,blendtop3,-1.7517039345049668e-05,-9.99999999995449e-06,1.3994270825033962e-05,0.098,ens4,h3,False,7.517039345095178e-06,1.45775952266162e-05,0.515657022179512
blend150fx,stack_pub149_hybrid,1.3633249213218512e-05,4.999999999999449e-05,1.5959824382546864e-05,0.188,ens4,hybrid,False,3.636675078677598e-05,1.6473696033021976e-05,2.2075647574094988
blend150fx,stack_pub151_fixed_rankraw,7.441443360178823e-06,1.0000000000065512e-05,1.9303092145072783e-05,0.36,ens4,rankraw,False,2.558556639886689e-06,1.9730079397403277e-05,0.12967796978168403
blend150fx,stack_pub151_hybrid,7.648813880156702e-06,4.999999999999449e-05,1.3964328465907157e-05,0.278,ens4,hybrid,False,4.235118611983779e-05,1.4548853431470522e-05,2.9109638308836243
blend150fx,stack_pub151_rankraw,8.877529627082659e-06,2.000000000002e-05,1.7997237030328078e-05,0.316,ens4,rankraw,False,1.112247037293734e-05,1.845446307516095e-05,0.6026981293163597
blend150fx,stack_pub86_hybrid,0.0003541429907936,0.00024,5.883150194913014e-05,0.0,ens4,hybrid,False,-0.00011414299079359999,5.897297930626509e-05,-1.9355133848812318
blend150fx,stack_pub88_mine_logit,0.0003719968486586,0.00023,5.995615257636559e-05,0.0,ens4,logit,False,-0.00014199684865860002,6.009498230657113e-05,-2.362873624526773
blend150fx,w16e_aonly,-2.248709660535031e-05,-4.000000000004e-05,1.6166569593666725e-05,0.07,ens4,h3+corr,False,-1.7512903394689687e-05,1.6674070861476395e-05,-1.0503076027553249
blend150fx,w16h_h3av6,-1.678564545937178e-05,-9.99999999995449e-06,1.3855066686799764e-05,0.108,ens4,h3+corr,False,6.785645459417289e-06,1.4444013969888539e-05,0.4697894555878536
blend150fx,w16i_schemeavg,-2.3722891143385105e-05,-2.999999999997449e-05,1.57263848783248e-05,0.05,ens4,h3+corr,False,-6.277108856589386e-06,1.6247641305982526e-05,-0.3863396993062678
blend150fx,w16l_maskw_h3,-1.379684793989533e-05,-9.99999999995449e-06,1.5529454295846337e-05,0.172,ens4,h3+corr,False,3.7968479399408395e-06,1.6057104888286894e-05,0.2364590607308363
blend150fx,w16n_finegrid,-2.375310920843532e-05,-2.999999999997449e-05,1.5694456927834537e-05,0.05,ens4,h3+corr,False,-6.2468907915391725e-06,1.6216739651555124e-05,-0.3852124980584565
blend150fx,w16q_ens4avg,-1.9573755446478103e-05,-4.000000000004e-05,1.4342618398132985e-05,0.076,ens4,ens4+corr,False,-2.0426244553561894e-05,1.4912322729244076e-05,-1.3697560684831909
blend150fx,w16t_cellens4,-1.94292973648702e-05,-4.000000000004e-05,1.5505765824736642e-05,0.096,ens4,ens4+corr,False,-2.0570702635169795e-05,1.6034195972303614e-05,-1.2829269812282598
blend150fx_hybrid,blend150fx_logit,6.43992838961216e-05,-3.999999999992898e-05,3.3312809888951254e-05,0.036,hybrid,logit,False,-0.00010439928389605058,3.3562031663236284e-05,-3.1106365950547965
blend150fx_hybrid,blend150fx_rankraw,-9.835495570764683e-06,-2.999999999997449e-05,2.305432149745449e-05,0.334,hybrid,rankraw,False,-2.0164504429209806e-05,2.341299652702872e-05,-0.8612526126645622
blend150fx_hybrid,blend150fx_rescale,1.6994578895257462e-06,-2.999999999997449e-05,2.287052661079829e-05,0.488,hybrid,rescale,False,-3.169945788950024e-05,2.323203938792071e-05,-1.364471597184967
blend150fx_hybrid,blend150sx,-1.881175784135269e-05,-4.999999999999449e-05,1.6543844290588418e-05,0.136,hybrid,ens4,False,-3.11882421586418e-05,1.704011298606619e-05,-1.8302837653802309
