cut,n_tr,n_te,dist,bias,sd
0.5,39,38,36.66400899020829,9.522378224750833,13.865479651399692
0.55,43,34,39.173459445638585,11.262528511000497,14.228835900613907
0.6000000000000001,47,30,43.330853304320485,22.20924401249116,14.967623181810717
0.6500000000000001,51,27,45.62135859802145,21.17776432846397,12.77853533111331
0.7000000000000002,54,24,46.676265051730695,27.61353616750178,9.794290585867197
0.7500000000000002,58,20,14.130305937015697,-6.592596339591546,10.741544239754885
0.8000000000000003,62,16,10.307972207426742,5.799650542860036,8.95041930490776
0.8500000000000003,66,12,10.204719222972614,8.075760368917448,6.386396810881527
0.9000000000000004,70,8,4.006102887726959,8.779302438968443,6.1009517814590195
0.9500000000000004,74,4,4.308654604073814,7.0872074027429335,8.299250219880554
