auto,wanted,dcv,dlb,gamma,e_cond,shift,sd_cond,p_auto
w16e_aonly,w16i_schemeavg,-1.2357945380347957e-06,1.0000000000065512e-05,-0.09528413182445959,-2.3063874659556884e-06,-1.0705929279208928e-06,1.330375872129862e-06,0.0414913469876641
w16e_aonly,blend159av_h3,5.258344197733855e-06,3.0000000000085514e-05,-0.0993083539401313,2.8012910862490135e-06,-2.4570531114848417e-06,3.5930756461857365e-06,0.7821974170434569
w16q_ens4avg,w16i_schemeavg,-4.1491356969070026e-06,1.0000000000065512e-05,-0.08957905110581021,-5.416601846609147e-06,-1.2674661497021446e-06,2.9455001432964084e-06,0.032961910582659404
w16q_ens4avg,blend159av_h3,2.3450030388616483e-06,3.0000000000085514e-05,-0.09376934757726327,-2.481879834435117e-07,-2.59319102230516e-06,4.345246115548967e-06,0.4772259458162854
w16t_cellens4,w16i_schemeavg,-4.293593778514904e-06,1.0000000000065512e-05,-0.08877228696009529,-5.562468787118077e-06,-1.2688750086031737e-06,3.588350451012878e-06,0.06055318220013195
w16t_cellens4,blend159av_h3,2.2005449572537472e-06,3.0000000000085514e-05,-0.09291005369562734,-3.823039034849306e-07,-2.582848860738678e-06,5.167768577312492e-06,0.4705137359905588
