family,std,unstd,cv_std,cv_unstd,dcv6,lb_std,lb_unstd,dlb6,pred_dlb6,resid6
rankraw,w23_ad187std_h3_rankraw,w20_ad187_rankraw,0.97009179122053,0.9700915299750819,0.2612454481631943,0.97114,0.97114,0.0,0.45717953428559,-0.45717953428559
ens4,w23_ad187std,w20_ad187,0.9701058972467212,0.970097889484853,8.007761868267238,0.97115,0.97116,-10.000000000065512,14.013583269467667,-24.01358326953318
corrected h3,w23_ad187stdcorr,w21_ad187corr,0.9701150808744374,0.970106881371208,8.199503229389116,0.97116,0.97117,-9.99999999995449,14.349130651430952,-24.349130651385444
uncorrected h3,w23_ad187std_h3,w20_ad187_h3,0.9701092750631358,0.9701008149538332,8.460109302665941,0.97114,0.97115,-9.99999999995449,14.805191279665397,-24.805191279619887
rescale,w23_ad187std_h3_rescale,w20_ad187_rescale,0.9700937038591301,0.9700778470728432,15.856786286905233,0.97114,0.97115,-9.99999999995449,27.74937600208416,-37.749376002038645
hybrid,w23_ad187std_h3_hybrid,w20_ad187_hybrid,0.9700977969987988,0.9700773469651351,20.45003366368814,0.97112,0.97113,-10.000000000065512,35.78755891145424,-45.78755891151975
